baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000229807	3243.67227995629	-8.45874213419284	0.923332134144511	-9.161104462188	5.13688401219166e-20	1.59414633845015e-16
ENSG00000270641	2046.22374639326	-7.98281763808708	0.909433198629281	-8.77779439998338	1.66711675267345e-18	3.88021424184746e-15
ENSG00000151651	592.037507712643	-3.00192860658876	0.451070414030944	-6.65512193487118	2.83065277870224e-11	4.9412582568221e-08
ENSG00000148344	306.580142116945	-2.20654260031934	0.350891039895404	-6.28839824743624	3.20758197967989e-10	4.71514551012943e-07
ENSG00000112559	167.338072590593	-2.41939870814777	0.38752808495228	-6.24315708226847	4.28825849311232e-10	5.45102453015596e-07
ENSG00000278039	19.5081175075914	-7.34254991295821	1.18250620700574	-6.20931194226077	5.32170918334961e-10	6.46240597786759e-07
ENSG00000177238	74.2937734584315	-6.32289793295125	1.03079010394483	-6.13403049636732	8.56800828634352e-10	9.57217885750298e-07
ENSG00000174502	95.4382279907289	-6.44534864744514	1.10265026985222	-5.84532450920179	5.05581688271183e-09	5.04317734050505e-06
ENSG00000308845	483.275873186209	-3.27726756744223	0.563852017313109	-5.81228312893019	6.16264946724772e-09	5.93526895242168e-06
ENSG00000161328	51.3259730043767	-1.8070073145576	0.312639308703044	-5.77984682109813	7.47686693363308e-09	6.73641591794748e-06
ENSG00000183421	342.74366391964	-1.48204288896947	0.25880694092091	-5.7264418168073	1.02558913702927e-08	8.71664201043523e-06
ENSG00000129455	28.3032966606941	-6.79239758742912	1.19290457934479	-5.69399908847686	1.24097746512275e-08	1.01942648826113e-05
ENSG00000228323	44.1661149272301	-2.19847991914443	0.386780191307411	-5.68405510042547	1.31537866930436e-08	1.04967217810488e-05
ENSG00000275454	106.453434084204	-1.98658316564732	0.351243499525617	-5.65585745595396	1.55070128690213e-08	1.17056991738315e-05
ENSG00000175866	461.112169966154	-2.16534336739968	0.385893396146089	-5.61124753370991	2.00873186508712e-08	1.33580669028293e-05
ENSG00000102854	853.509128541637	-4.62647166941629	0.830604254470845	-5.57000718996279	2.54728823396471e-08	1.65455256685196e-05
ENSG00000181085	230.544671919027	-3.28043793204007	0.592820729496319	-5.53360867597737	3.13708457705114e-08	1.99133573265996e-05
ENSG00000165272	1249.63289825628	-3.695752278371	0.673232669389958	-5.48956170192968	4.029323451024e-08	2.4465000866761e-05
ENSG00000132329	166.895055489153	-3.81611234952421	0.695650972093437	-5.48567097957228	4.11902930595003e-08	2.44775507479115e-05
ENSG00000283445	157.414922424681	-4.71927905075836	0.865266867198014	-5.45413123934904	4.92128468699038e-08	2.74902962615283e-05
ENSG00000127528	194.633937304072	-2.15290016151536	0.399998042453294	-5.38227674393368	7.35495707214766e-08	3.87592360424687e-05
ENSG00000167772	326.254651398236	-3.80570753945697	0.708943985230603	-5.36813573249946	7.95546744662526e-08	4.11474455156006e-05
ENSG00000163286	53.7933629586797	-5.2774809327345	0.98403699071763	-5.36309202043897	8.18093021592348e-08	4.15442510783169e-05
ENSG00000187608	619.178529300192	-3.10431262177974	0.581308517517998	-5.34021526991238	9.28362778445404e-08	4.63020935749645e-05
ENSG00000304518	38.461929394241	-6.15978712531291	1.16409083282566	-5.29150041527338	1.2131691501437e-07	5.84203695922648e-05
ENSG00000229124	1255.43228079081	-2.74619746543088	0.521287535062887	-5.26810499142203	1.37839268234125e-07	6.52517078267647e-05
ENSG00000267275	21.656463252425	-4.24650595636545	0.810974555538974	-5.23629986583638	1.63827705702638e-07	7.50116036110602e-05
ENSG00000225864	659.104860754926	-2.49804833581189	0.481961040239314	-5.18309184197026	2.18237504848749e-07	9.83124759746058e-05
ENSG00000184292	962.844918517338	-4.2207962469938	0.815839805522133	-5.17356007689832	2.29675228335209e-07	0.000101822684561942
ENSG00000140406	351.878233644539	-1.34029484495921	0.26209133111238	-5.1138465330794	3.1566384763589e-07	0.0001241759333024
ENSG00000255198	917.24423106497	-4.14038216085457	0.808777261394591	-5.11931078986472	3.06654253290263e-07	0.0001241759333024
ENSG00000179477	28.6896887347127	-3.21147937094338	0.62744357830639	-5.1183556290621	3.08211030630873e-07	0.0001241759333024
ENSG00000268149	62.8434114320222	-1.64922651609418	0.322445588816863	-5.11474361347482	3.14167386307476e-07	0.0001241759333024
ENSG00000298396	5782.51477125627	-1.74454051062286	0.342038102428879	-5.10042740336394	3.38887346955533e-07	0.000131460050006501
ENSG00000169220	274.894892101669	-1.61296286311299	0.317527437017525	-5.07975902260053	3.77913932455757e-07	0.000142636974776882
ENSG00000213145	18.6368795854089	-3.41807929244152	0.676236176884426	-5.05456438043494	4.31374228935628e-07	0.000160643762855628
ENSG00000163083	102.121941444491	-1.98656390758892	0.396432917470315	-5.01109726272334	5.41205502013372e-07	0.000198893021989914
ENSG00000273061	48.3305644671675	-1.57738147984096	0.316618370328886	-4.98196449625605	6.29419851118597e-07	0.000225380723612082
ENSG00000163283	46.8448263574267	-6.52033087714735	1.31152999750565	-4.97154536270472	6.64213183775799e-07	0.000231893427785726
ENSG00000161091	913.89326111975	-1.40793033598647	0.283188706623197	-4.97170368400255	6.63670883138926e-07	0.000231893427785726
ENSG00000269371	25.2491433733294	-2.64005811174541	0.533202691647941	-4.95132180144463	7.37110974945921e-07	0.000254166784323945
ENSG00000166897	48.7824331136064	-4.38934451617039	0.887634695911935	-4.94498979860277	7.61478519794819e-07	0.000259367012900845
ENSG00000125148	762.710434825307	-2.11888726278175	0.428866876061287	-4.9406642971395	7.78568561515906e-07	0.00026199301112216
ENSG00000296451	53.5442222350589	-2.46954987399748	0.5006944829455	-4.93224902233701	8.1288191059879e-07	0.000270283235274098
ENSG00000294832	140.23305101682	-3.72233106764734	0.755086356634422	-4.92967597009506	8.23661159676647e-07	0.000270645366938456
ENSG00000131142	25.0937823642053	-6.24561703997096	1.27758940430005	-4.88859489515941	1.01558240015155e-06	0.00032982809809573
ENSG00000100290	242.531381503587	-2.56465971048611	0.527195450926194	-4.86472276264986	1.1461735163809e-06	0.000367961221982971
ENSG00000289506	740.099395262249	-3.25166853302895	0.672361215337271	-4.83619289580503	1.32349492844817e-06	0.000415339475860196
ENSG00000188580	14.9942108437742	-4.64663863462722	0.961612657731867	-4.83213131323285	1.35079107794328e-06	0.000419195497855064
ENSG00000167755	1609.52018143465	-5.520681041522	1.1433718276303	-4.8284214357143	1.37619607646834e-06	0.00042238633423913
ENSG00000100258	810.550197866732	-1.76617334836757	0.366869719754663	-4.81417040781853	1.4781263809788e-06	0.000443914729255246
ENSG00000179820	1967.66082493133	-1.32979271853541	0.27704874452193	-4.79985109057279	1.58783647522659e-06	0.000466823923716617
ENSG00000269495	818.821611357445	-5.40044339770812	1.13091642604083	-4.7752807133718	1.79456747608952e-06	0.000511451730685514
ENSG00000185507	281.071005145767	-2.2371491831885	0.471508687641754	-4.74466164001681	2.08855148119465e-06	0.0005775568600967
ENSG00000151929	852.154536038941	-1.50712748678995	0.31756838984257	-4.74583596792201	2.07646940166363e-06	0.0005775568600967
ENSG00000130304	244.161958184783	-1.49078363888869	0.3139970442224	-4.74776328732824	2.05678553568569e-06	0.0005775568600967
ENSG00000132819	503.242302275257	-1.75191069772529	0.372364436721847	-4.70482818699992	2.5407983798652e-06	0.000682350949515721
ENSG00000255521	231.579023553913	-1.7227713043611	0.367069855681465	-4.6933064039344	2.68824386398951e-06	0.000705226201770508
ENSG00000236883	49.252011744813	-1.61952611445765	0.34514670057549	-4.69228334432079	2.70172587144448e-06	0.000705226201770508
ENSG00000124143	11.3866244359662	-4.90520786749647	1.04668867518691	-4.68640578978321	2.78044718698325e-06	0.000712457705802222
ENSG00000299225	84.8788856091549	-1.44116820926893	0.308017397389218	-4.67885327739405	2.88483777746272e-06	0.000732486537495762
ENSG00000167759	42.5295541604273	-5.54501552905741	1.18829438024361	-4.66636518799379	3.06574628077423e-06	0.000751107838789687
ENSG00000142185	294.534019031779	-1.58288221986982	0.339096546299795	-4.66793966833974	3.04235201975167e-06	0.000751107838789687
ENSG00000163736	18.3495692101612	-7.21414994531815	1.55365786341534	-4.64333243192911	3.42834060894071e-06	0.00081840643767277
ENSG00000178685	1285.06191548988	-1.91951333243648	0.414380437687525	-4.63224891394112	3.6171488975908e-06	0.000834933625700092
ENSG00000127666	387.636761712301	-1.76312658223836	0.380574684370404	-4.6328004847594	3.60752170282876e-06	0.000834933625700092
ENSG00000241313	38.2648759606731	-2.94071031916994	0.639521081650622	-4.5983008278318	4.2595065283157e-06	0.00095919353075978
ENSG00000142530	82.0911868597982	-2.54226426657225	0.553065808959477	-4.59667588447602	4.29284609183575e-06	0.00095919353075978
